,Unnamed: 0,logN,logmu,sigma,kappa,logV,T,P,accom
0,0,3.34559205394,-1.25830011808,2.97252497142,0.626395774223,0.783688310995,295.184501721,56390.1395548,1.0
1,1,3.16738814921,-1.09945684639,2.9310877269,0.0658391698757,0.771630850145,246.57824001,89852.0449202,1.0
2,2,3.86876183075,-1.04173738462,1.77137833653,0.0394758190529,0.653283878149,257.703648356,94342.8841514,1.0
3,3,3.83884592601,-1.32861166296,2.21096375766,0.408788761017,0.944772307136,263.254934583,52464.3569811,1.0
4,4,2.48887873077,-1.1833327409,2.02744933519,0.123021571568,-0.157782007662,284.896334602,79442.5750708,1.0
5,5,2.0181128176,-1.3586662967,1.28120576537,0.265431094754,0.639061151633,247.259282272,104378.802325,1.0
6,6,1.24877416913,-1.73875300473,2.47439478756,0.0890313083067,0.480857543767,263.36423537,63178.8236018,1.0
7,7,3.94512273542,-1.11844050393,2.08866119531,0.892565753652,0.774792915195,298.030213697,56732.4479375,1.0
8,8,3.84588596367,-1.70085076731,1.70730574621,0.354732617444,0.988895711131,300.131932561,81949.6068664,1.0
9,9,3.56274935291,-1.24774560202,2.40414769296,0.0633102811022,-0.674420860375,299.231322007,59136.627748,1.0
10,10,3.90391642345,-1.05896423617,1.70017519875,0.152909517147,0.78361254155,295.954005785,97983.212283,1.0
11,11,3.80078577701,-1.97546442918,1.46338519081,0.632297528137,0.800815029197,275.47696164,103069.535413,1.0
12,12,3.98161410143,-1.03488230501,1.67438659925,0.190126449784,0.579063767156,245.708922056,79359.3435297,1.0
13,13,3.42939691867,-1.23028954652,2.33341217844,0.309795399898,0.821823194619,296.23213062,71011.6712833,1.0
14,14,2.12428382804,-1.08942633357,1.58358638335,0.800662582034,0.869427276272,285.083180547,94061.7560462,1.0
15,15,3.45101721002,-1.72668528471,1.87318112679,0.441923228539,0.926150096343,246.48999573,65596.8656271,1.0
16,16,3.83096618466,-1.08276118917,1.9683386798,1.15020656427,-0.33616270254,274.579681164,59345.5998966,1.0
17,17,2.82745948091,-1.87037781975,2.86269389395,8.66041126644e-05,0.999517197175,288.810282919,76088.6032942,1.0
18,18,3.98199963169,-1.34162036057,1.82153310287,0.512903489484,0.766962248393,273.522094076,95174.3344252,1.0
19,19,3.29025984924,-1.95969294517,2.80213475642,1.12151976122,0.993155772081,282.382856852,104473.411069,1.0
20,20,3.90210276386,-1.02074508805,1.52367100064,0.0447241070651,0.656770454496,300.306267283,72406.3108298,1.0
21,21,3.65464266009,-1.2995282165,1.50351848085,0.274981797523,0.410394598059,242.143262529,68184.3402199,1.0
22,22,3.79451388178,-1.30396009969,2.71157230186,0.886902229155,-0.496616171588,266.244939556,86402.7057217,1.0
23,23,3.82191107835,-1.10280643374,2.24961445441,0.815378616984,0.120178453598,279.600526872,71572.5989689,1.0
24,24,3.14945766648,-1.17120783815,1.84123482226,0.212674587929,0.990829740523,267.295472074,56997.3487214,1.0
25,25,3.85299498321,-1.0866662009,1.95386938768,0.199419492509,0.959651224535,302.133674389,69221.0858283,1.0
26,26,3.07985227682,-1.00230573954,2.26981336751,0.992489429789,0.510918807326,298.359785328,92211.4835394,1.0
27,27,3.8943740338,-2.06711747219,2.35156149635,0.770857788286,0.960179459712,288.102997604,65568.6066478,1.0
