,Smax_parcel,Neq_parcel,Nkn_parcel,Smax_expansion_order_2,Nderiv_expansion_order_2,Neq_expansion_order_2,Nkn_expansion_order_2,Smax_expansion_order_3,Nderiv_expansion_order_3,Neq_expansion_order_3,Nkn_expansion_order_3,Smax_expansion_order_4,Nderiv_expansion_order_4,Neq_expansion_order_4,Nkn_expansion_order_4,Smax_expansion_order_5,Nderiv_expansion_order_5,Neq_expansion_order_5,Nkn_expansion_order_5,Smax_ARG,Nderiv_ARG,Smax_MBN,Nderiv_MBN
0,-2.6615557356,3.1422844718,3.12889911772,-2.64862624781,3.14483171956,1.8772143464,3.41610416946,-2.72853723496,3.11395089224,3.83801543584,3.00938650585,-2.70694762253,3.12260583896,1.76205637303,3.38313166837,-2.69039784906,3.12908273778,3.10399757996,2.99316052812,-2.79685352716,3.08499775173,-2.66603974366,3.1383415115
1,-1.8587809457,3.07573054708,3.07202242335,-1.91171062158,3.05920574212,1.77441447436,3.51566547841,-1.88710500274,3.06489112173,5.25635439468,2.90814473627,-1.85816999964,3.07128421915,3.74304079717,3.3656392157,-1.87688235235,3.06718550794,3.11484125495,3.05667950181,-2.00140881803,3.03645384129,-1.80935942484,3.08126115663
2,-2.19227839891,3.75958119399,3.75273535051,-2.39732558684,3.63011910932,3.68705572851,3.79843596141,-2.36404634153,3.65541896999,3.19563014596,3.99060948601,-2.22171407577,3.74231351373,4.104675541,3.61418352476,-2.20747439042,3.74926439574,4.3452798104,3.84476541234,-2.264417357,3.71966143161,-2.24419385983,3.73044447304
3,-2.2164402142,3.71619250444,3.70446446993,-2.34308620868,3.66390534474,3.57501237221,3.81477550822,-2.36010343969,3.6560182929,3.32373757781,3.72953668401,-2.17814980387,3.72802765983,3.69293949173,3.98955963706,-2.27945189591,3.69121642289,3.17835734463,3.40753809618,-2.26712651322,3.69612065908,-2.24031449161,3.70622671638
4,-2.4626710573,2.28164111165,2.28164111165,-2.53475426422,2.23797500166,2.23171279552,2.42770299551,-2.48529986884,2.26926062516,1.9538959077,2.42006300889,-2.4885908077,2.26726977691,2.0842327055,2.43230405763,-2.4684671178,2.27924463886,2.46625317118,2.37949400622,-2.52087466011,2.2470542467,-2.47734092318,2.27382409978
5,-1.38762260902,2.01814294874,2.01814294874,-1.40285112007,2.01811281711,2.66945206921,2.14158336405,-1.54616175841,2.01811274043,2.28988844439,2.00765326655,-1.45398977573,2.01811281436,2.79797847503,2.04874396437,-1.42787529394,2.01811281635,2.13960316236,2.12532403945,-1.47179784985,2.01811281147,-1.29031366702,2.01811281759
6,-1.34866076472,1.0906930221,1.0906930221,-1.28165848054,1.10500371474,1.61751600001,0.896560612758,-1.34348883706,1.08241427762,0.838657337353,1.0425046973,-1.38564292245,1.06559763378,1.19534418284,1.28992252187,-1.33577847834,1.08536403143,1.21165653758,1.57807538857,-1.01984913708,1.17633787304,-1.17120819476,1.13819186464
7,-3.17438855136,3.64418899419,-inf,-3.07515160097,3.71384220785,3.18814598248,3.64298052571,-3.16889016069,3.65258383396,3.5665939261,2.88022056579,-3.12994258929,3.67926454023,4.09649055482,3.03188884941,-3.04553916659,3.73113907161,3.59355032256,3.95413311687,-3.19977458762,3.63014528507,-3.23515787196,3.60306234053
8,-2.17624420621,3.48211971853,3.4651090036,-2.14433991485,3.5139482119,3.24253722475,3.51522151898,-2.18324597286,3.47076663687,3.55412124846,3.66727813047,-2.145899468,3.5122863207,3.87243860999,3.98129496526,-2.14452608494,3.51375012495,3.2409700287,3.75756322943,-2.2585668475,3.37664488942,-2.25195524191,3.38353899503
9,-3.21755243478,2.47588195675,-inf,-3.38694157064,2.21340550817,2.69671269118,3.02887728921,-3.30177407263,2.34574285048,2.09097696421,3.61026145312,-3.24400837328,2.43080383578,1.98227542703,3.26512458126,-3.17031542214,2.53387320651,2.92952297002,3.62743369344,-3.2853061006,2.37037705201,-3.32343657787,2.31191717974
